"성별","국적별",2023.08 p),2023.08 p),2023.08 p),2023.08 p),2023.09 p),2023.09 p),2023.09 p),2023.09 p),2023.10 p),2023.10 p),2023.10 p),2023.10 p),2021,2021,2021,2021,2022,2022,2022,2022
"성별","국적별",총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동
"남자","코스타리카",4,4,0,4,2,2,0,2,1,0,1,-1,17,7,10,-3,9,6,3,3
"남자","쿠바",2,2,0,2,3,3,0,3,1,0,1,-1,15,12,3,9,14,7,7,0
"남자","도미니카연방",2,2,0,2,-,-,-,-,-,-,-,-,3,1,2,-1,2,0,2,-2
"남자","도미니카공화국",3,2,1,1,1,1,0,1,7,1,6,-5,37,22,15,7,32,12,20,-8
"남자","에콰도르",17,11,6,5,6,1,5,-4,3,0,3,-3,68,34,34,0,64,32,32,0
"남자","엘살바도르",-,-,-,-,1,1,0,1,-,-,-,-,13,5,8,-3,8,5,3,2
"남자","그레나다",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1
"남자","과테말라",2,1,1,0,2,1,1,0,-,-,-,-,12,6,6,0,18,14,4,10
"남자","가이아나",1,1,0,1,-,-,-,-,-,-,-,-,1,1,0,1,5,3,2,1
"남자","아이티",4,0,4,-4,2,0,2,-2,-,-,-,-,7,3,4,-1,131,125,6,119
"남자","온두라스",-,-,-,-,-,-,-,-,1,0,1,-1,9,6,3,3,12,8,4,4
"남자","자메이카",1,0,1,-1,1,1,0,1,1,1,0,1,8,4,4,0,18,7,11,-4
"남자","멕시코",78,67,11,56,27,14,13,1,8,4,4,0,404,130,274,-144,515,270,245,25
"남자","네덜란드령앤틸리스",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,-1
"남자","니카라과",1,1,0,1,-,-,-,-,1,0,1,-1,4,0,4,-4,7,4,3,1
"남자","파나마",1,1,0,1,1,1,0,1,1,0,1,-1,10,5,5,0,10,6,4,2
"남자","파라과이",2,2,0,2,4,3,1,2,16,2,14,-12,15,9,6,3,25,17,8,9
"남자","페루",12,6,6,0,9,8,1,7,6,4,2,2,99,42,57,-15,123,74,49,25
"남자","세인트크리토퍼 네비스",-,-,-,-,-,-,-,-,1,0,1,-1,-,-,-,-,4,2,2,0
"남자","세인트빈센트그레나딘",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,-,-,-,-
"남자","수리남",-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,-,-,-,-
"남자","트리니다드토바고",-,-,-,-,-,-,-,-,-,-,-,-,7,2,5,-3,5,4,1,3
"남자","우루과이",-,-,-,-,-,-,-,-,1,0,1,-1,6,3,3,0,3,1,2,-1
"남자","미국",2073,1332,741,591,1516,905,611,294,1358,769,589,180,14457,6736,7721,-985,16041,8485,7556,929
"남자","베네수엘라",1,1,0,1,5,2,3,-1,7,3,4,-1,63,21,42,-21,41,19,22,-3
"남자","알바니아",2,1,1,0,5,2,3,-1,-,-,-,-,14,4,10,-6,26,12,14,-2
"남자","안도라",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,-1
"남자","오스트리아",27,20,7,13,11,3,8,-5,5,1,4,-3,162,73,89,-16,177,89,88,1
"남자","아르메니아",1,1,0,1,1,1,0,1,1,1,0,1,9,3,6,-3,8,4,4,0
"남자","아제르바이잔",57,51,6,45,5,2,3,-1,2,0,2,-2,58,38,20,18,111,63,48,15
"남자","벨기에",39,31,8,23,19,14,5,9,8,3,5,-2,339,166,173,-7,302,139,163,-24
"남자","불가리아",4,4,0,4,2,2,0,2,3,2,1,1,41,20,21,-1,33,15,18,-3
"남자","벨로루시",6,3,3,0,1,0,1,-1,8,5,3,2,35,19,16,3,51,32,19,13
"남자","보스니아헤르체고비나",-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,7,4,3,1
"남자","체코",27,22,5,17,4,1,3,-2,2,0,2,-2,129,65,64,1,153,80,73,7
"남자","에스토니아",3,2,1,1,-,-,-,-,-,-,-,-,10,5,5,0,10,6,4,2
"남자","덴마크",44,39,5,34,9,5,4,1,7,3,4,-1,215,114,101,13,235,108,127,-19
"남자","영국",227,151,76,75,127,51,76,-25,80,43,37,6,1463,725,738,-13,1663,842,821,21
"남자","영국 속령지 시민",-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,-1,-,-,-,-
"남자","영국 외지민",-,-,-,-,-,-,-,-,-,-,-,-,12,5,7,-2,14,5,9,-4
"남자","영국 외지시민",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,-,-,-,-
"남자","핀란드",34,27,7,20,5,5,0,5,3,1,2,-1,182,90,92,-2,222,108,114,-6
"남자","프랑스",762,653,109,544,161,94,67,27,77,35,42,-7,2794,1130,1664,-534,3631,1783,1848,-65
"남자","조지아",1,1,0,1,1,1,0,1,-,-,-,-,19,11,8,3,22,13,9,4
"남자","독일",430,352,78,274,97,51,46,5,55,29,26,3,1840,965,875,90,2289,1151,1138,13
"남자","그리스",23,14,9,5,8,5,3,2,8,6,2,4,211,82,129,-47,155,60,95,-35
"남자","헝가리",6,6,0,6,3,3,0,3,-,-,-,-,41,14,27,-13,60,29,31,-2
"남자","아이슬랜드",-,-,-,-,-,-,-,-,5,2,3,-1,8,1,7,-6,17,6,11,-5
"남자","아일랜드",21,14,7,7,4,1,3,-2,7,1,6,-5,178,91,87,4,189,82,107,-25
"남자","이탈리아",75,59,16,43,39,26,13,13,18,6,12,-6,504,215,289,-74,469,238,231,7
"남자","코소보",1,1,0,1,1,1,0,1,-,-,-,-,1,0,1,-1,3,2,1,1
"남자","라트비아",4,4,0,4,3,3,0,3,-,-,-,-,12,5,7,-2,25,10,15,-5
"남자","룩셈부르크",3,3,0,3,2,0,2,-2,1,0,1,-1,8,4,4,0,11,8,3,5
"남자","리투아니아",12,12,0,12,5,3,2,1,1,1,0,1,51,23,28,-5,67,36,31,5
"남자","북마케도니아",1,1,0,1,-,-,-,-,-,-,-,-,6,3,3,0,5,3,2,1
"남자","몰타",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,-1
"남자","모나코",1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"남자","몰도바",1,1,0,1,1,1,0,1,-,-,-,-,7,5,2,3,10,7,3,4
"남자","몬테네그로",1,1,0,1,-,-,-,-,-,-,-,-,4,1,3,-2,14,5,9,-4
"남자","네덜란드",111,95,16,79,37,11,26,-15,21,11,10,1,413,199,214,-15,705,350,355,-5
"남자","노르웨이",31,28,3,25,2,1,1,0,5,3,2,1,152,74,78,-4,150,68,82,-14
"남자","폴란드",28,26,2,24,14,10,4,6,13,2,11,-9,179,91,88,3,184,96,88,8
"남자","포르투칼",22,16,6,10,7,4,3,1,2,0,2,-2,139,49,90,-41,112,39,73,-34
"남자","루마니아",14,10,4,6,4,3,1,2,5,1,4,-3,115,58,57,1,98,47,51,-4
"남자","러시아(연방)",1168,777,391,386,1473,1140,333,807,1136,750,386,364,7801,3141,4660,-1519,9246,6228,3018,3210
"남자","세르비아",2,1,1,0,1,1,0,1,3,2,1,1,35,14,21,-7,31,16,15,1
"남자","슬로바크",3,3,0,3,-,-,-,-,-,-,-,-,32,16,16,0,37,13,24,-11
"남자","슬로베니아",7,6,1,5,-,-,-,-,3,2,1,1,16,9,7,2,21,8,13,-5
"남자","스페인",87,74,13,61,15,10,5,5,23,8,15,-7,555,286,269,17,467,232,235,-3
"남자","스웨덴",76,65,11,54,14,10,4,6,11,4,7,-3,313,182,131,51,361,169,192,-23
"남자","스위스",46,38,8,30,15,7,8,-1,3,2,1,1,264,130,134,-4,246,135,111,24
"남자","우크라이나",28,7,21,-14,41,19,22,-3,25,11,14,-3,873,490,383,107,743,564,179,385
"남자","크로아티아",6,4,2,2,2,1,1,0,1,0,1,-1,41,16,25,-9,42,17,25,-8
"남자","오스트레일리아",144,88,56,32,127,80,47,33,118,69,49,20,846,427,419,8,1451,842,609,233
"남자","피지",5,4,1,3,4,1,3,-2,1,0,1,-1,15,6,9,-3,23,16,7,9
"남자","키리바시",1,0,1,-1,-,-,-,-,-,-,-,-,46,15,31,-16,1,0,1,-1
"남자","미크로네시아",-,-,-,-,-,-,-,-,-,-,-,-,2,0,2,-2,-,-,-,-
"남자","마샬군도",-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,-1,4,3,1,2
"남자","뉴질랜드",28,12,16,-4,58,35,23,12,46,27,19,8,381,195,186,9,582,291,291,0
"남자","팔라우",-,-,-,-,1,0,1,-1,-,-,-,-,-,-,-,-,-,-,-,-
"남자","파푸아뉴기니",-,-,-,-,1,1,0,1,-,-,-,-,4,2,2,0,6,4,2,2
"남자","사모아",-,-,-,-,1,0,1,-1,-,-,-,-,-,-,-,-,-,-,-,-
"남자","솔로몬군도",1,0,1,-1,1,1,0,1,-,-,-,-,1,0,1,-1,2,2,0,2
"남자","통가",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1
"남자","투발루",-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,-1,-,-,-,-
"남자","바누아투",-,-,-,-,1,0,1,-1,-,-,-,-,34,13,21,-8,3,1,2,-1
"남자","알제리",9,8,1,7,11,6,5,1,11,4,7,-3,74,19,55,-36,70,27,43,-16
"남자","앙골라",1,1,0,1,2,1,1,0,-,-,-,-,15,5,10,-5,25,13,12,1
"남자","보츠와나",-,-,-,-,-,-,-,-,1,0,1,-1,5,3,2,1,5,2,3,-1
"남자","부룬디",27,26,1,25,49,48,1,47,4,3,1,2,34,20,14,6,90,73,17,56
"남자","카메룬",30,18,12,6,4,2,2,0,8,3,5,-2,102,37,65,-28,130,44,86,-42
"남자","중앙아프리카공화국",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,8,5,3,2
"남자","챠드",-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,0,6,4,2,2
"남자","코모로",1,0,1,-1,-,-,-,-,1,1,0,1,-,-,-,-,6,3,3,0
"남자","콩고",2,1,1,0,-,-,-,-,1,0,1,-1,4,3,1,2,16,9,7,2
"남자","콩고민주공화국",12,11,1,10,6,3,3,0,8,5,3,2,56,33,23,10,40,26,14,12
"남자","베넹",-,-,-,-,2,1,1,0,-,-,-,-,7,2,5,-3,8,4,4,0
"남자","이집트",102,60,42,18,98,70,28,42,119,56,63,-7,581,180,401,-221,910,359,551,-192
"남자","적도기니아",-,-,-,-,-,-,-,-,-,-,-,-,5,3,2,1,3,2,1,1
"남자","에티오피아",55,43,12,31,42,26,16,10,23,12,11,1,165,88,77,11,207,119,88,31
"남자","에리트레아",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,3,2,1,1
"남자","가봉",3,3,0,3,-,-,-,-,1,0,1,-1,5,3,2,1,6,3,3,0
"남자","감비아",4,1,3,-2,6,3,3,0,2,1,1,0,24,7,17,-10,40,19,21,-2
"남자","가나",59,37,22,15,25,14,11,3,33,16,17,-1,306,140,166,-26,304,156,148,8
"남자","기니",6,2,4,-2,5,2,3,-1,6,1,5,-4,40,10,30,-20,48,16,32,-16
"남자","기니비사우",1,1,0,1,-,-,-,-,-,-,-,-,3,1,2,-1,4,0,4,-4
"남자","코트디부아르",14,12,2,10,3,2,1,1,9,1,8,-7,13,5,8,-3,26,15,11,4
"남자","케냐",32,29,3,26,10,7,3,4,6,3,3,0,97,49,48,1,134,90,44,46
"남자","레소토",-,-,-,-,-,-,-,-,1,0,1,-1,-,-,-,-,-,-,-,-
"남자","라이베리아",20,20,0,20,3,1,2,-1,5,0,5,-5,82,26,56,-30,61,26,35,-9
"남자","리비아",35,13,22,-9,29,20,9,11,7,3,4,-1,495,211,284,-73,424,253,171,82
"남자","마다가스카르",-,-,-,-,1,1,0,1,1,1,0,1,5,4,1,3,3,1,2,-1
"남자","말라위",5,4,1,3,1,0,1,-1,-,-,-,-,14,5,9,-4,22,17,5,12
"남자","말리",2,0,2,-2,2,2,0,2,6,0,6,-6,29,11,18,-7,90,60,30,30
"남자","모리타니",1,1,0,1,-,-,-,-,-,-,-,-,4,3,1,2,2,0,2,-2
"남자","모리셔스",-,-,-,-,2,1,1,0,-,-,-,-,4,1,3,-2,11,8,3,5
"남자","모로코",24,16,8,8,23,10,13,-3,23,7,16,-9,153,53,100,-47,334,207,127,80
"남자","모잠비크",3,1,2,-1,1,1,0,1,-,-,-,-,75,40,35,5,39,13,26,-13
"남자","나미비아",-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,-,-,-,-
"남자","니제르",-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,-1,-,-,-,-
"남자","나이지리아",61,41,20,21,47,25,22,3,14,4,10,-6,434,197,237,-40,524,249,275,-26
"남자","짐바브웨",11,8,3,5,2,1,1,0,2,1,1,0,22,11,11,0,18,10,8,2
"남자","르완다",35,31,4,27,18,13,5,8,5,3,2,1,88,51,37,14,156,113,43,70
"남자","세네갈",7,6,1,5,2,1,1,0,9,8,1,7,48,6,42,-36,40,18,22,-4
"남자","세이쉘",1,0,1,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"남자","시에라리온",6,5,1,4,1,0,1,-1,2,0,2,-2,22,14,8,6,10,8,2,6
"남자","소말리아",5,4,1,3,-,-,-,-,-,-,-,-,15,9,6,3,17,8,9,-1
"남자","남아프리카공화국",81,46,35,11,53,28,25,3,35,21,14,7,321,159,162,-3,574,359,215,144
"남자","수단",3,2,1,1,3,1,2,-1,5,2,3,-1,95,43,52,-9,111,61,50,11
"남자","스와질랜드",1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0
"남자","남수단공화국",3,3,0,3,1,0,1,-1,-,-,-,-,2,2,0,2,1,0,1,-1
"남자","탄자니아",36,31,5,26,21,17,4,13,10,8,2,6,107,63,44,19,221,167,54,113
"남자","토고",2,1,1,0,-,-,-,-,-,-,-,-,5,1,4,-3,13,4,9,-5
"남자","튀니지",17,12,5,7,41,35,6,29,57,52,5,47,41,14,27,-13,98,74,24,50
"남자","우간다",31,28,3,25,5,2,3,-1,15,8,7,1,103,47,56,-9,137,89,48,41
"남자","부르키나파소",2,2,0,2,1,1,0,1,3,1,2,-1,7,2,5,-3,12,6,6,0
"남자","잠비아",5,4,1,3,4,2,2,0,-,-,-,-,13,5,8,-3,16,10,6,4
"남자","무국적",1,0,1,-1,-,-,-,-,-,-,-,-,6,4,2,2,19,16,3,13
"남자","국제연합",1,0,1,-1,-,-,-,-,2,2,0,2,11,5,6,-1,12,5,7,-2
"남자","미상",1,0,1,-1,-,-,-,-,1,1,0,1,12,4,8,-4,20,5,15,-10
"여자","합계",43183,29974,13209,16765,30785,20404,10381,10023,23899,13692,10207,3485,230899,112765,118134,-5369,296314,183050,113264,69786
"여자","아프가니스탄",6,4,2,2,1,1,0,1,1,1,0,1,242,228,14,214,48,40,8,32
"여자","바레인",6,4,2,2,-,-,-,-,-,-,-,-,10,5,5,0,7,6,1,5
"여자","방글라데시",169,140,29,111,164,122,42,80,143,98,45,53,615,416,199,217,1090,708,382,326
"여자","부탄",1,1,0,1,1,1,0,1,-,-,-,-,15,10,5,5,15,10,5,5
"여자","브루나이",48,47,1,46,2,0,2,-2,1,0,1,-1,16,12,4,8,183,108,75,33
"여자","미얀마",286,260,26,234,465,438,27,411,71,57,14,43,727,626,101,525,1680,1551,129,1422
"여자","캄보디아",566,403,163,240,571,361,210,151,609,339,270,69,2874,1577,1297,280,5535,3893,1642,2251
"여자","스리랑카",139,120,19,101,141,129,12,117,76,59,17,42,247,126,121,5,537,407,130,277
"여자","중국",15297,10510,4787,5723,10832,7290,3542,3748,9288,6226,3062,3164,104487,47021,57466,-10445,85410,50856,34554,16302
"여자","타이완",708,552,156,396,210,109,101,8,131,73,58,15,2214,1205,1009,196,2752,1680,1072,608
"여자","키프러스",7,4,3,1,-,-,-,-,-,-,-,-,10,6,4,2,12,6,6,0
"여자","홍콩",182,120,62,58,71,35,36,-1,32,15,17,-2,924,484,440,44,1058,646,412,234
"여자","인도",373,248,125,123,203,126,77,49,180,85,95,-10,1830,1137,693,444,2677,1558,1119,439
"여자","인도네시아",711,597,114,483,234,155,79,76,121,77,44,33,1693,897,796,101,3294,1998,1296,702
"여자","이란",47,29,18,11,28,18,10,8,19,9,10,-1,266,165,101,64,310,184,126,58
"여자","이라크",9,8,1,7,3,1,2,-1,6,3,3,0,53,32,21,11,74,31,43,-12
"여자","이스라엘",25,17,8,9,14,8,6,2,8,6,2,4,83,39,44,-5,84,46,38,8
"여자","일본",1692,1151,541,610,706,460,246,214,336,163,173,-10,7756,4863,2893,1970,10330,6090,4240,1850
"여자","요르단",12,8,4,4,8,8,0,8,6,4,2,2,73,37,36,1,85,56,29,27
"여자","카자흐스탄",1093,710,383,327,941,685,256,429,609,377,232,145,5633,3250,2383,867,8300,6116,2184,3932
"여자","키르기스스탄",221,162,59,103,185,142,43,99,125,83,42,41,1145,766,379,387,1552,1068,484,584
"여자","쿠웨이트",2,2,0,2,-,-,-,-,-,-,-,-,14,9,5,4,19,9,10,-1
"여자","라오스",220,116,104,12,98,54,44,10,300,111,189,-78,219,157,62,95,647,433,214,219
"여자","레바논",3,1,2,-1,2,1,1,0,2,1,1,0,14,8,6,2,13,7,6,1
"여자","마카오",11,7,4,3,5,4,1,3,1,0,1,-1,45,20,25,-5,35,21,14,7
"여자","말레이시아",353,287,66,221,156,95,61,34,111,76,35,41,1017,511,506,5,1795,1041,754,287
"여자","몰디브",-,-,-,-,-,-,-,-,-,-,-,-,9,4,5,-1,2,1,1,0
"여자","몽골",1109,686,423,263,1194,878,316,562,549,245,304,-59,7064,2231,4833,-2602,8031,5624,2407,3217
"여자","네팔",489,445,44,401,474,405,69,336,175,93,82,11,740,283,457,-174,3090,2465,625,1840
"여자","오만",3,3,0,3,1,0,1,-1,-,-,-,-,19,10,9,1,30,16,14,2
"여자","파키스탄",124,102,22,80,135,106,29,77,88,47,41,6,784,406,378,28,892,524,368,156
"여자","팔레스타인",4,2,2,0,1,1,0,1,-,-,-,-,11,6,5,1,9,8,1,7
"여자","필리핀",816,454,362,92,628,364,264,100,666,284,382,-98,2480,1060,1420,-360,6243,3691,2552,1139
"여자","티모르민주공화국",19,15,4,11,5,5,0,5,3,1,2,-1,21,13,8,5,44,26,18,8
"여자","카타르",-,-,-,-,-,-,-,-,-,-,-,-,5,2,3,-1,5,3,2,1
"여자","사우디아라비아",75,56,19,37,14,5,9,-4,12,8,4,4,317,173,144,29,256,161,95,66
"여자","싱가포르",145,122,23,99,17,8,9,-1,14,8,6,2,258,165,93,72,620,336,284,52
"여자","시리아",4,4,0,4,3,1,2,-1,11,9,2,7,46,14,32,-18,185,102,83,19
"여자","타지키스탄",33,23,10,13,25,18,7,11,29,20,9,11,158,118,40,78,217,145,72,73
"여자","태국",2291,915,1376,-461,2329,1001,1328,-327,2369,898,1471,-573,10022,2395,7627,-5232,29986,21000,8986,12014
"여자","튀르키예",159,122,37,85,78,57,21,36,34,19,15,4,476,296,180,116,679,453,226,227
"여자","투르크메니스탄",14,13,1,12,31,26,5,21,13,7,6,1,22,7,15,-8,102,90,12,78
"여자","아랍에미리트연합",35,10,25,-15,29,12,17,-5,39,8,31,-23,238,157,81,76,465,273,192,81
"여자","우즈베키스탄",961,533,428,105,1181,800,381,419,763,435,328,107,8798,5280,3518,1762,11146,7148,3998,3150
"여자","베트남",4163,2876,1287,1589,4355,3157,1198,1959,3218,1556,1662,-106,17189,9474,7715,1759,41140,23620,17520,6100
"여자","예멘공화국",10,8,2,6,10,7,3,4,4,3,1,2,54,33,21,12,102,60,42,18
"여자","아르헨티나",10,7,3,4,8,5,3,2,4,3,1,2,59,39,20,19,86,58,28,30
"여자","바하마",-,-,-,-,1,1,0,1,-,-,-,-,4,1,3,-2,-,-,-,-
"여자","바베이도스",1,1,0,1,1,0,1,-1,-,-,-,-,1,1,0,1,2,2,0,2
"여자","벨리즈",-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,6,3,3,0
"여자","볼리비아",3,1,2,-1,3,1,2,-1,1,0,1,-1,19,10,9,1,28,22,6,16
"여자","브라질",115,78,37,41,44,26,18,8,23,5,18,-13,489,295,194,101,699,426,273,153
"여자","캐나다",495,281,214,67,546,342,204,138,445,254,191,63,3820,1965,1855,110,5775,3199,2576,623
"여자","칠레",32,23,9,14,13,7,6,1,5,2,3,-1,104,57,47,10,183,117,66,51
"여자","콜롬비아",41,34,7,27,11,8,3,5,14,4,10,-6,193,111,82,29,238,144,94,50
"여자","코스타리카",5,5,0,5,2,1,1,0,1,0,1,-1,24,17,7,10,38,22,16,6
"여자","쿠바",4,4,0,4,2,0,2,-2,2,2,0,2,11,7,4,3,7,4,3,1
"여자","도미니카연방",3,3,0,3,-,-,-,-,-,-,-,-,2,2,0,2,3,0,3,-3
"여자","도미니카공화국",5,4,1,3,-,-,-,-,4,1,3,-2,20,12,8,4,29,16,13,3
"여자","에콰도르",21,19,2,17,4,2,2,0,4,1,3,-2,69,35,34,1,91,49,42,7
"여자","엘살바도르",5,5,0,5,1,1,0,1,3,1,2,-1,33,17,16,1,21,15,6,9
"여자","과테말라",4,2,2,0,2,0,2,-2,2,0,2,-2,19,10,9,1,25,12,13,-1
"여자","가이아나",4,4,0,4,3,1,2,-1,-,-,-,-,1,0,1,-1,5,5,0,5
"여자","아이티",-,-,-,-,1,0,1,-1,-,-,-,-,4,3,1,2,35,33,2,31
"여자","온두라스",1,1,0,1,1,1,0,1,2,0,2,-2,12,4,8,-4,10,5,5,0
"여자","자메이카",4,2,2,0,1,1,0,1,3,3,0,3,14,7,7,0,17,8,9,-1
"여자","멕시코",152,138,14,124,28,12,16,-4,16,7,9,-2,550,320,230,90,859,469,390,79
"여자","니카라과",3,3,0,3,-,-,-,-,1,1,0,1,16,7,9,-2,19,10,9,1
"여자","파나마",7,6,1,5,-,-,-,-,-,-,-,-,22,14,8,6,18,10,8,2
"여자","파라과이",3,3,0,3,1,1,0,1,3,1,2,-1,21,14,7,7,40,20,20,0
"여자","페루",36,27,9,18,9,3,6,-3,9,2,7,-5,122,61,61,0,172,113,59,54
"여자","세인트크리토퍼 네비스",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,5,3,2,1
"여자","세인트루시아",-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,1,-,-,-,-
"여자","수리남",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,-1
"여자","트리니다드토바고",2,2,0,2,-,-,-,-,-,-,-,-,9,5,4,1,7,4,3,1
"여자","우루과이",2,2,0,2,2,2,0,2,-,-,-,-,14,9,5,4,14,7,7,0
"여자","미국",3053,2348,705,1643,1826,1124,702,422,1386,870,516,354,18908,10244,8664,1580,22370,12978,9392,3586
"여자","베네수엘라",4,3,1,2,6,5,1,4,9,1,8,-7,54,23,31,-8,53,30,23,7
"여자","알바니아",3,3,0,3,3,2,1,1,-,-,-,-,11,7,4,3,15,7,8,-1
"여자","오스트리아",45,36,9,27,14,9,5,4,6,3,3,0,173,104,69,35,246,132,114,18
"여자","아르메니아",11,8,3,5,3,2,1,1,2,1,1,0,27,17,10,7,12,8,4,4
"여자","아제르바이잔",45,44,1,43,7,5,2,3,2,1,1,0,57,41,16,25,79,47,32,15
"여자","벨기에",76,63,13,50,30,26,4,22,11,5,6,-1,393,226,167,59,471,227,244,-17
"여자","불가리아",15,14,1,13,2,0,2,-2,2,1,1,0,65,36,29,7,59,30,29,1
"여자","벨로루시",34,27,7,20,9,8,1,7,11,5,6,-1,160,98,62,36,188,109,79,30
"여자","보스니아헤르체고비나",3,1,2,-1,1,1,0,1,-,-,-,-,5,3,2,1,7,5,2,3
"여자","체코",59,47,12,35,5,4,1,3,3,2,1,1,143,75,68,7,207,117,90,27
"여자","에스토니아",10,10,0,10,-,-,-,-,1,1,0,1,40,21,19,2,42,22,20,2
"여자","덴마크",96,88,8,80,6,4,2,2,6,1,5,-4,247,141,106,35,312,168,144,24
"여자","영국",443,343,100,243,152,66,86,-20,64,34,30,4,1409,868,541,327,1795,1038,757,281
"여자","영국 속령지 시민",1,1,0,1,-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,-1
"여자","영국 외지민",3,0,3,-3,1,1,0,1,2,1,1,0,20,12,8,4,35,22,13,9
"여자","핀란드",90,78,12,66,9,7,2,5,1,0,1,-1,298,149,149,0,434,228,206,22
"여자","프랑스",1040,858,182,676,224,127,97,30,140,66,74,-8,3201,1509,1692,-183,5169,2830,2339,491
"여자","조지아",14,13,1,12,2,2,0,2,-,-,-,-,38,19,19,0,40,26,14,12
"여자","독일",888,739,149,590,195,106,89,17,74,37,37,0,2542,1455,1087,368,3467,1913,1554,359
"여자","그리스",17,12,5,7,6,5,1,4,-,-,-,-,52,28,24,4,64,34,30,4
"여자","헝가리",60,51,9,42,3,1,2,-1,5,3,2,1,127,74,53,21,182,98,84,14
"여자","아이슬랜드",12,10,2,8,-,-,-,-,1,0,1,-1,6,4,2,2,21,12,9,3
"여자","아일랜드",33,26,7,19,11,5,6,-1,6,1,5,-4,174,105,69,36,213,117,96,21
"여자","이탈리아",183,156,27,129,45,34,11,23,25,13,12,1,620,350,270,80,843,487,356,131
"여자","코소보",-,-,-,-,2,2,0,2,-,-,-,-,3,1,2,-1,3,2,1,1
"여자","라트비아",21,21,0,21,4,3,1,2,2,1,1,0,52,35,17,18,54,23,31,-8
"여자","리히텐슈타인",-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,-,-,-,-
"여자","룩셈부르크",3,3,0,3,1,1,0,1,-,-,-,-,20,10,10,0,26,14,12,2
"여자","리투아니아",30,29,1,28,2,2,0,2,1,0,1,-1,106,62,44,18,115,59,56,3
"여자","북마케도니아",-,-,-,-,-,-,-,-,-,-,-,-,3,3,0,3,4,1,3,-2
"여자","몰타",-,-,-,-,-,-,-,-,1,0,1,-1,3,1,2,-1,1,1,0,1
"여자","몰도바",10,10,0,10,1,1,0,1,-,-,-,-,38,18,20,-2,20,11,9,2
"여자","몬테네그로",-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,1,7,3,4,-1
"여자","네덜란드",239,211,28,183,29,14,15,-1,18,9,9,0,480,294,186,108,1106,579,527,52
"여자","노르웨이",55,46,9,37,5,0,5,-5,6,2,4,-2,143,88,55,33,219,108,111,-3
"여자","폴란드",97,80,17,63,22,16,6,10,18,5,13,-8,322,197,125,72,428,232,196,36
"여자","포르투칼",23,15,8,7,6,3,3,0,4,0,4,-4,152,62,90,-28,143,71,72,-1
"여자","루마니아",15,12,3,9,9,2,7,-5,1,0,1,-1,107,67,40,27,133,65,68,-3
"여자","러시아(연방)",1414,949,465,484,1202,868,334,534,887,560,327,233,8237,4173,4064,109,9154,6096,3058,3038
"여자","세르비아",6,6,0,6,7,7,0,7,3,1,2,-1,37,17,20,-3,23,14,9,5
"여자","슬로바크",22,17,5,12,2,2,0,2,1,0,1,-1,66,36,30,6,64,32,32,0
"여자","슬로베니아",6,6,0,6,-,-,-,-,-,-,-,-,19,12,7,5,28,13,15,-2
"여자","스페인",228,201,27,174,49,27,22,5,27,15,12,3,737,456,281,175,977,530,447,83
"여자","스웨덴",114,91,23,68,36,28,8,20,11,3,8,-5,433,253,180,73,621,338,283,55
"여자","스위스",59,46,13,33,17,9,8,1,3,2,1,1,227,135,92,43,306,158,148,10
"여자","우크라이나",81,43,38,5,67,38,29,9,49,12,37,-25,927,565,362,203,1329,1061,268,793
"여자","크로아티아",5,4,1,3,1,0,1,-1,1,1,0,1,36,20,16,4,29,18,11,7
"여자","오스트레일리아",179,124,55,69,126,77,49,28,126,84,42,42,892,483,409,74,1686,1034,652,382
