호스트_id,숙소_url,etc
739825,https://www.airbnb.com/rooms/739825,N/A
743739,https://www.airbnb.com/rooms/743739,퀸사이즈 침대 1개 · 공용 욕실
877995,https://www.airbnb.com/rooms/877995,N/A
881381,https://www.airbnb.com/rooms/881381,침대 1개 · 공용 욕실
884849,https://www.airbnb.com/rooms/884849,더블 침대 1개 · 공용 욕실
899636,https://www.airbnb.com/rooms/899636,N/A
910648,https://www.airbnb.com/rooms/910648,이층 침대 1개 · 공용 욕실
1016793,https://www.airbnb.com/rooms/1016793,침대 1개 · 공용 화장실
919702,https://www.airbnb.com/rooms/919702,침실 1개 · 공용 욕실
756481,https://www.airbnb.com/rooms/756481,최대 인원 2명 · 원룸 · 침대 1개 · 공동 사용 욕실 1.5개
1043759,https://www.airbnb.com/rooms/1043759,더블 침대 1개 · 공용 욕실
760374,https://www.airbnb.com/rooms/760374,침대 1개 · 공용 욕실
763638,https://www.airbnb.com/rooms/763638,더블 침대 1개 · 공용 욕실
960280,https://www.airbnb.com/rooms/960280,침대 1개 · 공용 욕실
771277,https://www.airbnb.com/rooms/771277,침대 1개 · 공용 욕실
1146154,https://www.airbnb.com/rooms/1146154,더블 침대 1개 · 전용 욕실
1147242,https://www.airbnb.com/rooms/1147242,더블 침대 1개 · 공용 욕실
1106561,https://www.airbnb.com/rooms/1106561,침대 1개 · 공용 욕실
1177555,https://www.airbnb.com/rooms/1177555,킹사이즈 침대 2개 · 전용 욕실
1117720,https://www.airbnb.com/rooms/1117720,침대 1개 · 공용 욕실
1117842,https://www.airbnb.com/rooms/1117842,더블 침대 1개 · 공용 욕실
1185611,https://www.airbnb.com/rooms/1185611,침대 1개 · 공용 욕실
1188467,https://www.airbnb.com/rooms/1188467,퀸사이즈 침대 1개 · 공용 욕실
1288328,https://www.airbnb.com/rooms/1288328,더블 침대 1개 · 침실에 딸린 전용 욕실
1444607,https://www.airbnb.com/rooms/1444607,침대 1개 · 공용 욕실
1289824,https://www.airbnb.com/rooms/1289824,침대 1개 · 공용 욕실
1445547,https://www.airbnb.com/rooms/1445547,침대 1개 · 공용 욕실
1448098,https://www.airbnb.com/rooms/1448098,퀸사이즈 침대 1개 · 공용 욕실
1310972,https://www.airbnb.com/rooms/1310972,침대 1개 · 공용 욕실
1477127,https://www.airbnb.com/rooms/1477127,침실 1개 · 전용 욕실
1483126,https://www.airbnb.com/rooms/1483126,침실 1개 · 공용 욕실
1228389,https://www.airbnb.com/rooms/1228389,침대 1개 · 공용 욕실
1335779,https://www.airbnb.com/rooms/1335779,침대 1개 · 공용 욕실
1238314,https://www.airbnb.com/rooms/1238314,더블 침대 1개 · 공용 욕실
1244162,https://www.airbnb.com/rooms/1244162,최대 인원 2명 · 침실 1개 · 침대 1개 · 욕실 1개
1266554,https://www.airbnb.com/rooms/1266554,침대 1개 · 공용 욕실
1268104,https://www.airbnb.com/rooms/1268104,침대 3개 · 공용 욕실
1268125,https://www.airbnb.com/rooms/1268125,침대 1개 · 공용 욕실
1268135,https://www.airbnb.com/rooms/1268135,침대 1개 · 공용 욕실
1274276,https://www.airbnb.com/rooms/1274276,더블 침대 1개 · 공용 화장실
1362525,https://www.airbnb.com/rooms/1362525,침대 1개 · 공용 욕실
1563662,https://www.airbnb.com/rooms/1563662,최대 인원 3명 · 원룸 · 침대 1개 · 욕실 1개
1626486,https://www.airbnb.com/rooms/1626486,침대 1개 · 공용 욕실
1628126,https://www.airbnb.com/rooms/1628126,침대 1개 · 전용 욕실
1648809,https://www.airbnb.com/rooms/1648809,최대 인원 2명 · 원룸 · 욕실 1.5개
1593625,https://www.airbnb.com/rooms/1593625,N/A
1666544,https://www.airbnb.com/rooms/1666544,더블 침대 1개 · 공용 욕실
1670108,https://www.airbnb.com/rooms/1670108,N/A
1603453,https://www.airbnb.com/rooms/1603453,더블 침대 1개 · 공용 욕실
1674813,https://www.airbnb.com/rooms/1674813,침실 1개 · 공용 욕실
1698371,https://www.airbnb.com/rooms/1698371,침대 3개 · 공용 욕실
1713053,https://www.airbnb.com/rooms/1713053,더블 침대 1개 · 전용 욕실
1834920,https://www.airbnb.com/rooms/1834920,침대 2개 · 공용 욕실
1421796,https://www.airbnb.com/rooms/1421796,N/A
1838348,https://www.airbnb.com/rooms/1838348,더블 침대 1개 · 공용 욕실
1842557,https://www.airbnb.com/rooms/1842557,더블 침대 1개 · 전용 욕실
1849158,https://www.airbnb.com/rooms/1849158,N/A
1888143,https://www.airbnb.com/rooms/1888143,더블 침대 1개 · 공용 욕실
1765385,https://www.airbnb.com/rooms/1765385,침대 1개 · 공용 욕실
1780542,https://www.airbnb.com/rooms/1780542,최대 인원 2명 · 원룸 · 침대 1개 · 욕실 1개
2021621,https://www.airbnb.com/rooms/2021621,침대 1개 · 공용 욕실
1909104,https://www.airbnb.com/rooms/1909104,침대 1개 · 공용 욕실
1795690,https://www.airbnb.com/rooms/1795690,최대 인원 2명 · 원룸 · 침대 1개 · 욕실 1개
1805010,https://www.airbnb.com/rooms/1805010,침대 1개 · 공용 욕실
1918751,https://www.airbnb.com/rooms/1918751,더블 침대 1개 · 공용 욕실
1918833,https://www.airbnb.com/rooms/1918833,침대 1개 · 공용 욕실
2037815,https://www.airbnb.com/rooms/2037815,더블 침대 1개 · 공용 욕실
2162431,https://www.airbnb.com/rooms/2162431,침대 1개 · 공용 욕실
1948157,https://www.airbnb.com/rooms/1948157,침대 1개 · 공용 욕실
2045254,https://www.airbnb.com/rooms/2045254,퀸사이즈 침대 1개 · 욕실 없음
2173226,https://www.airbnb.com/rooms/2173226,침대 1개 · 공용 욕실
2045673,https://www.airbnb.com/rooms/2045673,최대 인원 2명 · 원룸 · 욕실 1개
2053193,https://www.airbnb.com/rooms/2053193,침대 1개 · 공용 욕실
2054767,https://www.airbnb.com/rooms/2054767,더블 침대 2개 · 전용 욕실
2060485,https://www.airbnb.com/rooms/2060485,최대 인원 3명 · 원룸 · 침대 1개 · 욕실 2개
2191456,https://www.airbnb.com/rooms/2191456,더블 침대 1개 · 공용 욕실
2073647,https://www.airbnb.com/rooms/2073647,더블 침대 1개 · 공용 욕실
1984141,https://www.airbnb.com/rooms/1984141,침대 1개 · 공용 욕실
2087417,https://www.airbnb.com/rooms/2087417,침대 1개 · 공용 욕실
2113530,https://www.airbnb.com/rooms/2113530,N/A
2119021,https://www.airbnb.com/rooms/2119021,침대 1개 · 공용 욕실
1994211,https://www.airbnb.com/rooms/1994211,침대 1개 · 공용 욕실
2213671,https://www.airbnb.com/rooms/2213671,침대 2개 · 공용 욕실 5개
2120417,https://www.airbnb.com/rooms/2120417,침대 2개 · 공용 욕실
2216626,https://www.airbnb.com/rooms/2216626,더블 침대 1개 · 침실에 딸린 전용 욕실
2373150,https://www.airbnb.com/rooms/2373150,침대 1개 · 공용 욕실
2225080,https://www.airbnb.com/rooms/2225080,더블 침대 1개 · 공용 욕실
2227271,https://www.airbnb.com/rooms/2227271,침대 1개 · 공용 욕실
2231133,https://www.airbnb.com/rooms/2231133,침대 1개 · 공용 욕실
2378704,https://www.airbnb.com/rooms/2378704,더블 침대 1개 · 공용 욕실
2134928,https://www.airbnb.com/rooms/2134928,더블 침대 1개 · 전용 욕실
2386324,https://www.airbnb.com/rooms/2386324,침대 2개 · 공용 욕실
2386825,https://www.airbnb.com/rooms/2386825,침대 1개 · 공용 욕실
2388759,https://www.airbnb.com/rooms/2388759,N/A
